 Mineral Name   ,   Locality Count   ,   mindat ID 1   ,   Locality Longname 1   ,   Max Age 1   ,   Min Age 1   ,   mindat ID 2   ,   Locality Longname 2   ,   Max Age 2   ,   Min Age 2   
Abellaite,2,2702,"Yubileinaya Pegmatite (Yubileinoye; Jubilejnaja), Karnasurt Mt, Lovozero Massif, Murmansk Oblast, Russia",370,359,53316,"Eureka Mine, Castell-estaó, La Torre De Cabdella (La Torre De Capdella), La Vall Fosca, El Pallars Jussà, Lleida (Lérida), Catalonia, Spain",252,0
Abelsonite,10,,,,,,,,
Abenakiite-(Ce),1,599,"Poudrette Quarry (De-Mix Quarry; Demix Quarry; Uni-Mix Quarry; Carrière Mont Saint-Hilaire; MSH), Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",124,124,,,,
Abernathyite,16,,,,,,,,
Abhurite,7,,,,,,,,
Abramovite,1,10264,"Kudriavy Volcano (Kudryavyi), Iturup Island, Kuril Islands (Kurile Islands), Sakhalin Oblast, Russia",0.04,0,,,,
Abswurmbachite,4,,,,,,,,
Abuite,1,53678,"Hinomaru-Nako Mine (Hinomaru-Nago Mine), Abu Town, Yamaguchi, Japan",,,,,,
Acanthite,2793,,,,,,,,
Acetamide,2,2723,"Coal Mine, Chervonograd, L'viv-Volynskii Coal Basin (L'vov-Volynskii Coal Basin), Lviv Oblast, Ukraine",0,0,62571,"Shamokin, Northumberland Co., Pennsylvania, USA",0,0
Achalaite,1,308180,"La Calandria Mine, Cañada Del Puerto, San Gerónimo, Pocho Department, Córdoba Province, Argentina",,,,,,
Achávalite,2,41,"Cacheuta Mine, Cerro De Cacheuta, Sierra De Cacheuta, Cacheuta, Luján De Cuyo Department, Mendoza Province, Argentina",,,64762,"Yutangba Se Deposit, Enshi Co., Enshi Autonomous Prefecture (E'xi Autonomous Prefecture), Hubei, China",,
Achyrophanite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Acmonidesite,1,5552,"La Fossa Crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy",,,,,,
Actinolite,3419,,,,,,,,
Acuminite,1,1958,"Ivigtut Cryolite Deposit, Ivittuut (Ivigtut), Arsuk Fjord, Sermersooq, Greenland, Denmark",1275,1037,,,,
Adachiite,1,19825,"Kiura Mine (Shin-Kiura Mine; Kiura Emery Mine), Saiki City, Oita, Japan",,,,,,
Adamite,254,,,,,,,,
Adamsite-(Y),3,,,,,,,,
Addibischoffite,1,265481,"Acfer 214 Meteorite, Tanezrouft, Tamanghasset Province, Algeria",,,,,,
Adelite,13,,,,,,,,
Admontite,1,246,"Schildmauer, Admont, Ennstaler Alpen, Styria, Austria",,,,,,
Adolfpateraite,1,188817,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov, Karlovy Vary District, Karlovy Vary Region, Czech Republic",270,130,,,,
Adranosite,4,,,,,,,,
Adranosite-(Fe),6,,,,,,,,
Adrianite,1,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",4567.61,4565.65,,,,
Aegirine,1022,,,,,,,,
Aegirine-augite,286,,,,,,,,
Aenigmatite,133,,,,,,,,
Aerinite,22,,,,,,,,
Aerugite,2,1887,"Johanngeorgenstadt, Johanngeorgenstadt Mining District, Erzgebirge District, Saxony, Germany",600,100,13871,"Vater Abraham Mine (""Shaft 139""; Shaft 152), Lauta, Marienberg District, Erzgebirge District, Saxony, Germany",343,100
Aeschynite-(Ce),43,,,,,,,,
Aeschynite-(Nd),7,,,,,,,,
Aeschynite-(Y),141,,,,,,,,
Afghanite,25,,,,,,,,
Afmite,3,,,,,,,,
Afwillite,41,,,,,,,,
Agaite,2,87939,"Aga Mine, Otto Mountain, Baker, Soda Mts, Silver Lake District, San Bernardino Co., California, USA",946,74,205196,"Bird Nest Drift, Otto Mountain, Baker, Soda Mts, Silver Lake District, San Bernardino Co., California, USA",946,74
Agakhanovite-(Y),3,,,,,,,,
Agardite-(Ce),43,,,,,,,,
Agardite-(La),33,,,,,,,,
Agardite-(Nd),18,,,,,,,,
Agardite-(Y),90,,,,,,,,
Agmantinite,1,2544,"Uchucchacua Mine, Oyon Province, Lima, Peru",24.5,24.5,,,,
Agrellite,7,,,,,,,,
Agricolaite,3,,,,,,,,
Agrinierite,1,1720,"Margnac Mine, Compreignac, Haute-Vienne, Nouvelle-Aquitaine, France",520,156,,,,
Aguilarite,87,,,,,,,,
Aheylite,2,218,"Bali Lo Copper Mine (Casleys Prospect; Bali Low Prospect), Ashburton Downs Station, Ashburton Shire, Western Australia, Australia",1790,1790,334,"Huanuni Mine, Huanuni, Dalence Province, Oruro, Bolivia",,
Ahlfeldite,2,353,"El Dragón Mine, Antonio Quijarro Province, Potosí, Bolivia",416,359,328,"Virgen De Surumi Mine (Pacajake Mine; Pakajake Mine), Pakajake Canyon (Pacajake Canyon), Chayanta Province, Potosí, Bolivia",,
Ahrensite,3,,,,,,,,
Aikinite,315,,,,,,,,
Aiolosite,1,5552,"La Fossa Crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy",,,,,,
Ajoite,11,,,,,,,,
Akaganeite,63,,,,,,,,
Akaogiite,3,,,,,,,,
Akatoreite,3,,,,,,,,
Akdalaite,6,,,,,,,,
Åkermanite,50,,,,,,,,
Akhtenskite,5,,,,,,,,
Akimotoite,10,,,,,,,,
Aklimaite,1,267807,"Xenolith No. 1, Lakargi Mt., Upper Chegem Volcanic Caldera (Verkhnechegemskaya Caldera), Baksan Valley, Kabardino-Balkaria, Russia",3,2.3,,,,
Akopovaite,1,306122,"Akopovaite Type Locality, Asan-Usan Glacier, Karasu-Karavshinskoye, Turkestan Ridge, Batken, Kyrgyzstan",,,,,,
Akrochordite,5,,,,,,,,
Aksaite,1,2211,"Chelkar Salt Dome, Aksai Valley, Shalkar, Aktobe Region, Kazakhstan",354,248,,,,
Aktashite,22,,,,,,,,
Alabandite,312,,,,,,,,
Alacránite,18,,,,,,,,
Alamosite,17,,,,,,,,
Alarsite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Albertiniite,1,190012,"Monte Falò, Coiromonte, Armeno, Novara Province, Piedmont, Italy",,,,,,
Albite,8803,,,,,,,,
Albrechtschraufite,1,777,"Jáchymov, Karlovy Vary District, Karlovy Vary Region, Czech Republic",543,1.8,,,,
Alburnite,1,248238,"Cârnicel Vein, Roşia Montană (Verespatak; Vöröspatak; Goldbach), Roşia Montanã Commune, Alba, Romania",12.87,10.2,,,,
Alcaparrosaite,1,639,"Alcaparrosa Mine, Cerritos Bayos, Calama, El Loa Province, Antofagasta, Chile",,,,,,
Aldermanite,5,,,,,,,,
Aldridgeite,3,,,,,,,,
Aleksandrovite,1,3241,"Dara-i-Pioz Glacier (Dara-Pioz), Alai Range (Alayskiy), Tien Shan Mtn, Districts Of Republican Subordination, Tajikistan",359,170,,,,
Aleksite,28,,,,,,,,
Aleutite,1,2656,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Alexkhomyakovite,1,2672,"Koashva Open Pit (Vostochnyi Mine), Koashva Mt, Khibiny Massif, Murmansk Oblast, Russia",413.6,319.6,,,,
Alflarsenite,1,2493,"Tuften (Tuften 1 Quarry; Tuften 2 Quarry), Tvedalen, Larvik, Vestfold, Norway",294,294,,,,
Alforsite,5,,,,,,,,
Alfredopetrovite,1,353,"El Dragón Mine, Antonio Quijarro Province, Potosí, Bolivia",416,359,,,,
Alfredstelznerite,1,180790,"Santa Rosa Mine, Sijes, Los Andes Department, Salta Province, Argentina",,,,,,
Algodonite,41,,,,,,,,
Aliettite,7,,,,,,,,
Allabogdanite,2,204454,"Aghio Stefanos Prospect (Agios Stefanos), Domokos, Phthiotis, Central Greece, Greece",,,13542,"Onello Meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan Shield, Sakha Republic (Yakutia), Russia",,
Allactite,11,,,,,,,,
Allanite-(Ce),706,,,,,,,,
Allanite-(La),25,,,,,,,,
Allanite-(Nd),5,,,,,,,,
Allanite-(Y),28,,,,,,,,
Allanpringite,2,213874,"Krušná Hora, Beroun District, Central Bohemian Region, Czech Republic",,,108315,"Mark Mine, Essershausen, Weilburg, Wetzlar, Lahn-Dill, Hesse, Germany",,
Allargentum,69,,,,,,,,
Alleghanyite,77,,,,,,,,
Allendeite,2,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",4330,4010,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",4567.61,4565.65
Allochalcoselite,1,20412,"Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Alloclasite,56,,,,,,,,
Allophane,470,,,,,,,,
Alloriite,1,22746,"Mt Cavalluccio, Sacrofano Caldera, Campagnano, Metropolitan City Of Rome Capital, Lazio, Italy",0.4,0.4,,,,
Alluaivite,5,,,,,,,,
Alluaudite,94,,,,,,,,
Almandine,2353,,,,,,,,
Almarudite,1,1793,"Caspar Quarry, Bellerberg Volcano, Ettringen, Mayen, Mayen-Koblenz, Rhineland-Palatinate, Germany",354,0.4,,,,
Almeidaite,7,,,,,,,,
Alnaperbøeite-(Ce),1,50519,"Stetind Pegmatite, Tysfjord, Nordland, Norway",1788,1696,,,,
Alpeite,2,7019,"Cassagna Mine, Ne, Graveglia Valley, Genova Province, Liguria, Italy",100,100,240494,"Monte Alpe Mine, Maissana, La Spezia Province, Liguria, Italy",,
Alpersite,10,,,,,,,,
Alsakharovite-Zn,1,56558,"Pegmatite No. 45, Lepkhe-Nel'm Mt (Lepkhe-Nelm; Nepkha), Seidozero Lake, Lovozero Massif, Murmansk Oblast, Russia",370,359,,,,
Alstonite,24,,,,,,,,
Altaite,489,,,,,,,,
Alterite,1,304300,"Cliff Dwellers Lodge, Coconino Co., Arizona, USA",,,,,,
Althausite,5,,,,,,,,
Althupite,1,4313,"Kobokobo Pegmatite, Mwenga, South Kivu, DR Congo",975.3,969.3,,,,
Altisite,1,2674,"Olenii Ruchei (Olenii Creek; Oleny Ruchei), The Carbonatite Stock In The Vicinity Of Tul'ilukht Bay, Khibiny Massif, Murmansk Oblast, Russia",413.6,319.6,,,,
Aluminite,78,,,,,,,,
Aluminium,27,,,,,,,,
Aluminoceladonite,12,,,,,,,,
Aluminocerite-(Ce),8,,,,,,,,
Aluminocopiapite,50,,,,,,,,
Aluminocoquimbite,5,,,,,,,,
Aluminomagnesiohulsite,3,,,,,,,,
Aluminopyracmonite,3,,,,,,,,
Alum-(K),92,,,,,,,,
Alum-(Na),12,,,,,,,,
Alumoåkermanite,7,,,,,,,,
Alumoedtollite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Alumohydrocalcite,46,,,,,,,,
Alumoklyuchevskite,2,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,2656,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0
Alumotantite,5,,,,,,,,
Alumovesuvianite,2,581,"Jeffrey Mine (""Johns-Manville Mine""), Asbestos, Les Sources RCM, Estrie, Québec, Canada",440,440,4363,"Bellecombe, Châtillon, Aosta Valley, Italy",,
Alunite,966,,,,,,,,
Alunogen,272,,,,,,,,
Alvanite,4,,,,,,,,
Alwilkinsite-(Y),2,29931,"Val Daone Mine (Val Daone Uranium Prospects), Limes, Daone Valley, Daone, Chiese Valley, Giudicarie Valleys, Trento Province (Trentino), Trentino-Alto Adige, Italy",281,252,38665,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA",252,0
Amakinite,3,,,,,,,,
Amamoorite,1,306273,"Amamoor Mine, Amamoor Creek, Gympie Region, Queensland, Australia",,,,,,
Amarantite,22,,,,,,,,
Amarillite,6,,,,,,,,
Amblygonite,244,,,,,,,,
Ambrinoite,1,187732,"Signols Quarries, Signols, Oulx, Susa Valley, Metropolitan City Of Turin, Piedmont, Italy",,,,,,
Ameghinite,1,51,"Tincalayu Mine (Boroquimica Mine), Salar Del Hombre Muerto, Los Andes Department, Salta Province, Argentina",,,,,,
Amesite,74,,,,,,,,
Amicite,4,,,,,,,,
Aminoffite,3,,,,,,,,
Ammineite,3,,,,,,,,
Ammonioalunite,11,,,,,,,,
Ammonioborite,1,2067,"Larderello, Pomarance, Pisa Province, Tuscany, Italy",3,3,,,,
Ammoniojarosite,30,,,,,,,,
Ammoniolasalite,1,5966,"Burro Mine (C-SR-13 Mesa), Slick Rock District, San Miguel Co., Colorado, USA",,,,,,
Ammonioleucite,1,2183,"Tatarazawa, Fujioka, Gunma, Japan",,,,,,
Ammoniomagnesiovoltaite,3,,,,,,,,
Ammoniomathesiusite,1,5966,"Burro Mine (C-SR-13 Mesa), Slick Rock District, San Miguel Co., Colorado, USA",,,,,,
Ammoniovoltaite,1,295399,"Severo-Kambalny Geothermal Field, Kambalny Volcanic Ridge, Kamchatka Krai, Russia",,,,,,
Ammoniozippeite,4,,,,,,,,
Amstallite,1,10156,"Graphite Quarry, Amstall, Mühldorf, Waldviertel, Lower Austria, Austria",,,,,,
Analcime,1627,,,,,,,,
Anandite,5,,,,,,,,
Anapaite,25,,,,,,,,
Anatase,2162,,,,,,,,
Anatolyite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Ancylite-(Ce),92,,,,,,,,
Ancylite-(La),13,,,,,,,,
Andalusite,1310,,,,,,,,
Andersonite,47,,,,,,,,
Andradite,1534,,,,,,,,
Andreadiniite,1,241238,"Sant'Olga Tunnel, Monte Arsiccio Mine, Sant'Anna Di Stazzema, Stazzema, Lucca Province, Tuscany, Italy",27,8,,,,
Andrémeyerite,2,187930,"Slag Localities, Waitschach, Hüttenberg, Friesach - Hüttenberg Area, Carinthia, Austria",,,4321,"Mt Nyiragongo, Goma, North Kivu, DR Congo",,
Andreyivanovite,3,,,,,,,,
Andrianovite,1,2672,"Koashva Open Pit (Vostochnyi Mine), Koashva Mt, Khibiny Massif, Murmansk Oblast, Russia",413.6,319.6,,,,
Anduoite,9,,,,,,,,
Andychristyite,1,87939,"Aga Mine, Otto Mountain, Baker, Soda Mts, Silver Lake District, San Bernardino Co., California, USA",946,74,,,,
Andyrobertsite,1,2428,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Oshikoto Region, Namibia",600,519,,,,
Angarfite,1,31941,"Angarf-South Pegmatite, Tazenakht, Ouarzazate Province, Drâa-Tafilalet Region, Morocco",2046,2028,,,,
Angastonite,1,18330,"Penrice Marble Quarry, Angaston, Barossa Valley, North Mt Lofty Ranges, Mt Lofty Ranges, South Australia, Australia",,,,,,
Ángelaite,3,,,,,,,,
Angelellite,2,56,"Vela Yareta Mine (Yareta Adit), Cerro Pululus, Laguna Vilama, Rinconada Department, Jujuy Province, Argentina",,,155885,"Longruri Au-Sb Deposit (Nongruri Au-Sb Deposit), Maizhokunggar Co. (Mozhugongka Co.), Lhasa, Tibet, China",,
Anglesite,2734,,,,,,,,
Anhydrite,1588,,,,,,,,
Anhydrokainite,2,144037,"Hongshijing Au Deposit, Ruoqiang Co. (Qakilik Co.; Chaqiliq Co.), Bayin'gholin Autonomous Prefecture (Bayingolin Autonomous Prefecture; Bayinguoleng Autonomous Prefecture), Xinjiang, China",,,4395,"Lower Saxony, Germany",393,133.1
Anilite,88,,,,,,,,
Ankerite,3092,,,,,,,,
Ankinovichite,2,2223,"Kurumsak V Deposit, Aksumbe, Karatau Range, Turkistan Region, Kazakhstan",,,19840,"Kara-Chagyr Mountain, Batken, Kyrgyzstan",359,323
Annabergite,445,,,,,,,,
Annite,356,,,,,,,,
Anorpiment,1,65058,"Palomo Mine, Castrovirreyna Province, Huancavelica, Peru",7,3,,,,
Anorthite,1036,,,,,,,,
Anorthominasragrite,1,182886,"North Mesa No. 5, North Mesa Mine Group, Temple Mountain, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",410,13,,,,
Anorthoroselite,21,,,,,,,,
Ansermetite,9,,,,,,,,
Antarcticite,11,,,,,,,,
Anthoinite,14,,,,,,,,
Anthonyite,6,,,,,,,,
Anthophyllite,718,,,,,,,,
Antigorite,708,,,,,,,,
Antimonselite,7,,,,,,,,
Antimony,363,,,,,,,,
Antipinite,1,192704,"Pabellón De Pica, Chanabaya, Iquique Province, Tarapacá, Chile",359,66,,,,
Antlerite,246,,,,,,,,
Antofagastaite,2,231208,"Coronel Manuel Rodríguez Mine, Mejillones Peninsula, Mejillones, Antofagasta Province, Antofagasta, Chile",,,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0
Anyuiite,10,,,,,,,,
Anzaite-(Ce),2,2665,"Afrikanda Complex, Murmansk Oblast, Russia",399,360.9,3091,"Palabora Mine (Foscor Open Pit; PMC Mine), Loolekop, Phalaborwa, Limpopo, South Africa",2500,1600
Apachite,5,,,,,,,,
Apexite,1,29588,"Apex Mine (Rundberg Mine; Early Day Mine), Reese River District, Lander Co., Nevada, USA",168,2.58,,,,
Aphthitalite,77,,,,,,,,
Apjohnite,28,,,,,,,,
Aplowite,6,,,,,,,,
Apuanite,1,2165,"Buca Della Vena Mine, Ponte Stazzemese, Stazzema, Lucca Province, Tuscany, Italy",27,8,,,,
Aqualite,2,30390,"Kovdor Phlogopite Mine (Mica Mine; Slyuda Mine; Kovdorslyuda Shaft), Kovdor Massif, Murmansk Oblast, Russia",500,370.7,216419,"Inagli Chrome Diopside Deposit, Inagli Massif, Aldan, Aldan Shield, Sakha Republic (Yakutia), Russia",128.2,127
Aradite,2,273964,"Arad, Negev, Israel",,,251236,"Gurim Anticline, Hatrurim Formation, Negev, Israel",16,13
Aragonite,3250,,,,,,,,
Arakiite,3,,,,,,,,
Aramayoite,29,,,,,,,,
Arangasite,1,15929,"Alyaskitovoye Sn-W Deposit, Ust'-Nera, Indigirka River Basin, Sakha Republic (Yakutia), Russia",98,98,,,,
Arapovite,1,3241,"Dara-i-Pioz Glacier (Dara-Pioz), Alai Range (Alayskiy), Tien Shan Mtn, Districts Of Republican Subordination, Tajikistan",359,170,,,,
Aravaipaite,1,3332,"Grand Reef Mine (Aravaipa Mine; Lead Jewel; Joe Rubal Mine; Vivian Mine; Calistoga Mining & Development Co. Mine; Bringham Silver And Lead Mine), Laurel Canyon, Grand Reef Mountain, Klondyke, Santa Teresa Mts, Aravaipa District, Graham Co., Arizona, USA",56,33.9,,,,
Aravaite,1,305709,"Aravaite Type Locality, Hatrurim Formation, Negev, Israel",16,13,,,,
Arcanite,30,,,,,,,,
Archerite,7,,,,,,,,
Arctite,4,,,,,,,,
Arcubisite,5,,,,,,,,
Ardaite,2,460,"Madjarovo Deposit (Madyarovo Deposit; Madzharovo Deposit), Haskovo Province, Bulgaria",,,10811,"Dressfalls Mines, Gruvåsen Mines, Persberg Ore District, Filipstad, Värmland County, Sweden",1890,1715
Ardealite,30,,,,,,,,
Ardennite-(As),34,,,,,,,,
Ardennite-(V),11,,,,,,,,
Arfvedsonite,295,,,,,,,,
Argandite,2,7020,"Valgraveglia Mine (Gambatesa Mine), Monte Copello, Reppia, Ne, Graveglia Valley, Genova Province, Liguria, Italy",100,100,14685,"Pipji Glacier, Pipjitälli, Turtmann Valley, Valais, Switzerland",,
Argentobaumhauerite,2,2558,"Quiruvilca Mine (La Libertad Mine; ASARCO Mine), Quiruvilca District, Santiago De Chuco Province, La Libertad, Peru",,,3207,"Lengenbach Quarry, Fäld (Imfeld; Im Feld; Feld), Binn Valley, Valais, Switzerland",245,241
Argentodufrénoysite,1,3207,"Lengenbach Quarry, Fäld (Imfeld; Im Feld; Feld), Binn Valley, Valais, Switzerland",245,241,,,,
Argentojarosite,58,,,,,,,,
Argentoliveingite,1,3207,"Lengenbach Quarry, Fäld (Imfeld; Im Feld; Feld), Binn Valley, Valais, Switzerland",245,241,,,,
Argentopentlandite,67,,,,,,,,
Argentopyrite,53,,,,,,,,
Argentotennantite-(Zn),14,,,,,,,,
Argentotetrahedrite-(Fe),3,,,,,,,,
Argesite,1,5552,"La Fossa Crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy",,,,,,
Argutite,11,,,,,,,,
Argyrodite,62,,,,,,,,
Arhbarite,3,,,,,,,,
Ariegilatite,1,2063,"Hatrurim Formation, Negev, Israel",16,13,,,,
Arisite-(Ce),4,,,,,,,,
Arisite-(La),1,7687,"Aris Quarries (Ariskop Quarry; Railway Quarry), Aris, Windhoek District, Khomas Region, Namibia",32.2,31.8,,,,
Aristarainite,4,,,,,,,,
Armalcolite,39,,,,,,,,
Armangite,3,,,,,,,,
Armbrusterite,3,,,,,,,,
Armellinoite-(Ce),1,5767,"Montaldo Mine (Montaldo Di Mondovì Mine), Borgata Oberti, Montaldo Di Mondovì, Corsaglia Valley, Cuneo Province, Piedmont, Italy",,,,,,
Armenite,23,,,,,,,,
Armstrongite,5,,,,,,,,
Arrojadite-(BaNa),2,628,"Big Fish River, Dawson Mining District, Yukon, Canada",,,235076,"Luna Pegmatitic Dyke, Dorio, Lecco Province, Lombardy, Italy",,
Arrojadite-(KFe),50,,,,,,,,
Arrojadite-(KNa),3,,,,,,,,
Arrojadite-(PbFe),1,418,"Sapucaia Mine (Proberil Mine; Proberil Claim), Sapucaia Do Norte, Galiléia, Minas Gerais, Brazil",630,582,,,,
Arrojadite-(SrFe),2,1769,"Hagendorf South Pegmatite (Cornelia Shaft; Hagendorf South Open Cut), Hagendorf, Waidhaus, Upper Palatinate, Bavaria, Germany",561,4.528,3206,"Hålsjöberg (Horrsjöberg), Torsby, Värmland County, Sweden",,
Arsenatrotitanite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Arsenbrackebuschite,24,,,,,,,,
Arsendescloizite,20,,,,,,,,
Arsenic,379,,,,,,,,
Arseniopleite,7,,,,,,,,
Arseniosiderite,194,,,,,,,,
Arsenmarcobaldiite,1,289822,"Verzalla, Sant'Anna Di Stazzema, Stazzema, Lucca Province, Tuscany, Italy",27,8,,,,
Arsenmedaite,1,2089,"Molinello Mine, Ne, Graveglia Valley, Genova Province, Liguria, Italy",100,100,,,,
Arsenoclasite,4,,,,,,,,
Arsenocrandallite,12,,,,,,,,
Arsenoflorencite-(Ce),10,,,,,,,,
Arsenoflorencite-(La),4,,,,,,,,
Arsenogorceixite,15,,,,,,,,
Arsenogoyazite,21,,,,,,,,
Arsenohauchecornite,5,,,,,,,,
Arsenohopeite,1,2428,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Oshikoto Region, Namibia",600,519,,,,
Arsenolamprite,19,,,,,,,,
Arsenolite,231,,,,,,,,
Arsenopalladinite,31,,,,,,,,
Arsenopyrite,9052,,,,,,,,
Arsenovanmeersscheite,2,1777,"Krunkelbach Valley Uranium Deposit, Menzenschwand, St Blasien, Black Forest, Baden-Württemberg, Germany",313,0.26,1891,"Uranus Mine (Shafts 21a-c), Kleinrückerswalde, Annaberg-Buchholz, Erzgebirge District, Saxony, Germany",343,100
Arsenowagnerite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Arsenquatrandorite,1,248228,"Barika Ore Deposit, Sardasht, Sardasht County, West Azerbaijan, Iran",,,,,,
Arsentsumebite,37,,,,,,,,
Arsenudinaite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Arsenuranospathite,14,,,,,,,,
Arsenuranylite,7,,,,,,,,
Arsiccioite,1,22997,"Monte Arsiccio Mine, Sant'Anna Di Stazzema, Stazzema, Lucca Province, Tuscany, Italy",27,8,,,,
Arsmirandite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Arthurite,35,,,,,,,,
Artinite,75,,,,,,,,
Artroeite,3,,,,,,,,
Artsmithite,2,2827,"Santa Catharina Meteorite, Morro Do Rócio, São Francisco Do Sul, Santa Catarina, Brazil",,,11258,"Funderburk Prospect, Pike Co., Arkansas, USA",359,299
Arupite,2,2827,"Santa Catharina Meteorite, Morro Do Rócio, São Francisco Do Sul, Santa Catarina, Brazil",,,53680,"Sugashima, Toba City, Mie, Japan",,
Arzrunite,2,687,"Buena Esperanza Mine, Challacollo, El Tamarugal Province, Tarapacá, Chile",,,10611,"Maria Mine, Agia Varvara Mines (St Barbara Mines), Sounion Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece",20.2,3.6
Asbecasite,8,,,,,,,,
Asbolane,143,,,,,,,,
Aschamalmite,16,,,,,,,,
Ashburtonite,3,,,,,,,,
Ashcroftine-(Y),2,599,"Poudrette Quarry (De-Mix Quarry; Demix Quarry; Uni-Mix Quarry; Carrière Mont Saint-Hilaire; MSH), Mont Saint-Hilaire, La Vallée-du-Richelieu RCM, Montérégie, Québec, Canada",124,124,1961,"Narssârssuk Pegmatite, Narsaarsuk Plateau, Igaliku, Kujalleq, Greenland, Denmark",1300,1160
Ashoverite,6,,,,,,,,
Asimowite,1,5562,"Suizhou Meteorite (Suizhou L6 Chondrite), Xihe, Zengdu District (Cengdou District), Suizhou, Hubei, China",,,,,,
Asisite,1,2427,"Kombat Mine (Klein Otavi; Asis), Kombat, Grootfontein, Otjozondjupa Region, Namibia",601,537,,,,
Åskagenite-(Nd),1,10006,"Åskagen Quarry (Torskebäcken), Persberg Ore District, Filipstad, Värmland County, Sweden",1890,1850,,,,
Aspedamite,1,32618,"Herrebøkasa, Aspedammen, Idd, Halden, Østfold, Norway",,,,,,
Aspidolite,11,,,,,,,,
Asselbornite,3,,,,,,,,
Astrocyanite-(Ce),1,4311,"Kamoto East Open Cut, Kamoto, Kolwezi Mining District, Lualaba, DR Congo",900,470,,,,
Astrophyllite,161,,,,,,,,
Atacamite,544,,,,,,,,
Atelestite,47,,,,,,,,
Atelisite-(Y),1,50519,"Stetind Pegmatite, Tysfjord, Nordland, Norway",1788,1696,,,,
Atencioite,2,407,"Linópolis, Divino Das Laranjeiras, Minas Gerais, Brazil",630,582,131535,"Poço D'Antas Claim, Piauí Valley, Taquaral, Itinga, Minas Gerais, Brazil",,
Athabascaite,18,,,,,,,,
