 Mineral Name   ,   Locality Count   ,   mindat ID 1   ,   Locality Longname 1   ,   Max Age 1   ,   Min Age 1   ,   mindat ID 2   ,   Locality Longname 2   ,   Max Age 2   ,   Min Age 2   
Ferrochiavennite,2,243592,"Blåfjell (E18 Roadcuts), Kokkersvold E18 Roadcuts, Langangen, Porsgrunn, Telemark, Norway",294,294,52650,"A/S Granit Quarry, Tuften (Tuften 1 Quarry; Tuften 2 Quarry), Tvedalen, Larvik, Vestfold, Norway",294,294
Ferro-edenite,57,,,,,,,,
Ferroericssonite,3,,,,,,,,
Ferro-ferri-fluoro-leakeite,3,,,,,,,,
Ferro-ferri-hornblende,1,2105,"Traversella Mine, Traversella, Chiusella Valley, Canavese District, Metropolitan City Of Turin, Piedmont, Italy",35,25,,,,
Ferro-ferri-katophorite,6,,,,,,,,
Ferro-ferri-nybøite,6,,,,,,,,
Ferro-ferri-obertiite,1,3460,"Coyote Peak, Coastal Range, Humboldt Co., California, USA",29,29,,,,
Ferro-ferri-pedrizite,1,13543,"Arroyo De La Yedra, Manzanares El Real, Community Of Madrid, Spain",307,277,,,,
Ferro-fluoro-pedrizite,1,204951,"Sutlug River, Tuva, Russia",501,487,,,,
Ferro-gedrite,11,,,,,,,,
Ferro-glaucophane,26,,,,,,,,
Ferrohexahydrite,21,,,,,,,,
Ferrohögbomite-2N2S,13,,,,,,,,
Ferro-holmquistite,1,11514,"Greenbushes Mine (Greenbushes Pegmatite), Greenbushes Tinfield, Bridgetown-Greenbushes Shire, Western Australia, Australia",2529,1100,,,,
Ferro-hornblende,271,,,,,,,,
Ferroindialite,4,,,,,,,,
Ferro-katophorite,38,,,,,,,,
Ferrokentbrooksite,15,,,,,,,,
Ferrokësterite,13,,,,,,,,
Ferrokinoshitalite,4,,,,,,,,
Ferrolaueite,5,,,,,,,,
Ferromerrillite,3,,,,,,,,
Ferronickelplatinum,13,,,,,,,,
Ferronigerite-2N1S,14,,,,,,,,
Ferronigerite-6N6S,5,,,,,,,,
Ferronordite-(Ce),5,,,,,,,,
Ferronordite-(La),1,17865,"Bolshoi Punkaruaiv Mt, Lovozero Massif, Murmansk Oblast, Russia",370,359,,,,
Ferro-pargasite,54,,,,,,,,
Ferro-pedrizite,1,22165,"Sangilen Upland, Tuva, Russia",510,292,,,,
Ferroqingheiite,2,7721,"Sebastião Cristino Claim, Linópolis, Divino Das Laranjeiras, Minas Gerais, Brazil",630,582,3940,"Chandlers Mill Quarry, Newport, Sullivan Co., New Hampshire, USA",,
Ferrorhodonite,3,,,,,,,,
Ferro-richterite,30,,,,,,,,
Ferrorockbridgeite,1,1769,"Hagendorf South Pegmatite (Cornelia Shaft; Hagendorf South Open Cut), Hagendorf, Waidhaus, Upper Palatinate, Bavaria, Germany",561,4.528,,,,
Ferrorosemaryite,1,58310,"Rubindi Pegmatite (Kabilizi), Gatumba, Ngororero District, Western Province, Rwanda",980,980,,,,
Ferrosaponite,6,,,,,,,,
Ferroselite,51,,,,,,,,
Ferrosilite,84,,,,,,,,
Ferroskutterudite,4,,,,,,,,
Ferrostalderite,1,3207,"Lengenbach Quarry, Fäld (Imfeld; Im Feld; Feld), Binn Valley, Valais, Switzerland",245,241,,,,
Ferrostrunzite,19,,,,,,,,
Ferrotaaffeite-2N'2S,1,157020,"Xianghualing Sn-polymetallic Ore Field, Linwu Co., Chenzhou, Hunan, China",160,152,,,,
Ferrotaaffeite-6N'3S,1,13147,"Rosendal Pegmatite, Kimitoön (Kemiönsaari), Southwest Finland, Finland",1809.9,1804.1,,,,
Ferro-taramite,1,14535,"Liset Eclogite Pod, Liset, Selje, Sogn Og Fjordane, Norway",,,,,,
Ferrotitanowodginite,4,,,,,,,,
Ferrotochilinite,1,2749,"Oktyabrsky Mine (Oktyabr'skoe Cu-Ni Deposit; Oktyabr'skoye; Oktyabr'sky), Talnakh Cu-Ni Deposit, Noril'sk, Putoran Plateau, Taimyr Peninsula, Taymyrskiy Autonomous Okrug, Krasnoyarsk Krai, Russia",251.3,213.3,,,,
Ferro-tschermakite,27,,,,,,,,
Ferrotychite,2,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",145,66,2674,"Olenii Ruchei (Olenii Creek; Oleny Ruchei), The Carbonatite Stock In The Vicinity Of Tul'ilukht Bay, Khibiny Massif, Murmansk Oblast, Russia",413.6,319.6
Ferrovalleriite,1,2749,"Oktyabrsky Mine (Oktyabr'skoe Cu-Ni Deposit; Oktyabr'skoye; Oktyabr'sky), Talnakh Cu-Ni Deposit, Noril'sk, Putoran Plateau, Taimyr Peninsula, Taymyrskiy Autonomous Okrug, Krasnoyarsk Krai, Russia",251.3,213.3,,,,
Ferrovorontsovite,1,10314,"Vorontsovskoe Deposit (Vorontsovsk Gold Deposit), Tur'insk, Turya River, Turinsk-Auerbakovsk Ore Field, Serovsky District, Sverdlovsk Oblast, Russia",310,290,,,,
Ferrowodginite,16,,,,,,,,
Ferrowyllieite,4,,,,,,,,
Ferruccite,1,56924,"Atrio Del Cavallo, Mt Vesuvius, Somma-Vesuvius Complex, Naples, Campania, Italy",,,,,,
Fersmanite,11,,,,,,,,
Fersmite,83,,,,,,,,
Feruvite,15,,,,,,,,
Fervanite,10,,,,,,,,
Fetiasite,3,,,,,,,,
Fettelite,5,,,,,,,,
Feynmanite,2,38665,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA",252,0,27591,"Markey Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA",252,201
Fianelite,3,,,,,,,,
Fibroferrite,107,,,,,,,,
Fichtelite,4,,,,,,,,
Fiedlerite,14,,,,,,,,
Fiemmeite,1,302018,"Val Gardena Sandstone Exposure Near San Lugano Pass, Carano, Fiemme Valley, Trento Province (Trentino), Trentino-Alto Adige, Italy",281,252,,,,
Filatovite,1,20412,"Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
