,id,mineral,min_age,max_age,locality_longname,rarity_group,is_outlier
71,859,Calcite,541.0,2500.0,"Pilanesberg Mtn, Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa",Ubiquitous,True
72,859,Calcite,541.0,2500.0,"Boliden Mine (SkellefteÃ¥ Mine), Boliden, Skellefte Mining District, SkellefteÃ¥, VÃ¤sterbotten County, Sweden",Ubiquitous,True
73,859,Calcite,541.0,2500.0,"United Verde Extension Mine (Little Daisy Group Of Claims; Little Daisy Shaft; The UVX; The U.V.X. Property; Edith And Audrey Shafts), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
74,859,Calcite,541.0,2500.0,"United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
75,859,Calcite,1491.0,2500.0,"Dongshengmiao Mine, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous,True
76,859,Calcite,1600.0,2500.0,"Sherritt Gordon Mine (Sherridon Mine), Sherridon District, Manitoba, Canada",Ubiquitous,True
77,859,Calcite,1600.0,2500.0,"Black Angel Mine, Maarmorilik, Avannaata, Greenland, Denmark",Ubiquitous,True
78,859,Calcite,1600.0,2500.0,"Zawar Mines, Udaipur, Udaipur District, Udaipur Division, Rajasthan, India",Ubiquitous,True
79,859,Calcite,1810.0,2615.0,"SiilinjÃ¤rvi Mine, SiilinjÃ¤rvi, Northern Savonia, Finland",Ubiquitous,True
80,859,Calcite,2110.0,2644.0,"Tanco Mine (Bernic Lake Mine), Bernic Lake, Lac-du-Bonnet Area, Manitoba, Canada",Ubiquitous,True
81,859,Calcite,2180.0,2660.0,"Red Cross Lake Pegmatites, Red Cross Lake, Manitoba, Canada",Ubiquitous,True
82,859,Calcite,2188.3,2608.3,"Stillwater Mine, Stillwater Complex, Nye, Stillwater Co., Montana, USA",Ubiquitous,True
83,859,Calcite,2220.0,2918.0,"Wodgina Tantalite Mine (Wodgina Pegmatite; Main Tantalite Dyke), Wodgina, Abydos Station, Port Hedland Shire, Western Australia, Australia",Ubiquitous,True
85,859,Calcite,2500.0,4000.0,"Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
86,859,Calcite,2500.0,4000.0,"Willroy Mine, Gemmell Township, Thunder Bay District, Ontario, Canada",Ubiquitous,True
87,859,Calcite,2500.0,4000.0,"Hunter Mine, Abitibi-Ouest RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada",Ubiquitous,True
88,859,Calcite,2500.0,4000.0,"Manitou-Barvue Mine (Golden Manitou Mine), Val D'Or, La VallÃ©e-de-l'Or RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada",Ubiquitous,True
89,859,Calcite,2500.0,4000.0,"Sigma Mine (Sigma No. 1 Mine), Val D'Or, La VallÃ©e-de-l'Or RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada",Ubiquitous,True
90,859,Calcite,2500.0,4000.0,"Selbaie Mine (Detour Mine), Baie-James, Nord-du-QuÃ©bec, QuÃ©bec, Canada",Ubiquitous,True
91,859,Calcite,2512.82,2792.82,"Penokee Group, Ironwood, Gogebic Iron Range, Gogebic Co., Michigan, USA",Ubiquitous,True
93,859,Calcite,2540.0,3009.0,"Tupertalik Mt., Isortoq Fjord (SÃ¸ndre Isortoq), Qeqqata, Greenland, Denmark",Ubiquitous,True
97,859,Calcite,2560.0,2800.0,"Preissac Mine (Indian Mine), Preissac, Abitibi RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada",Ubiquitous,True
100,859,Calcite,2594.0,2727.0,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder, Kalgoorlie-Boulder Shire, Western Australia, Australia",Ubiquitous,True
105,859,Calcite,2621.0,2696.0,"White River Property (White River Gold Occurrence), Bomby Township, Thunder Bay District, Ontario, Canada",Ubiquitous,True
111,859,Calcite,2664.0,2724.0,"Lorraine Mine (Lorraine-Hinterland Mine), Latulipe-et-Gaboury, TÃ©miscamingue RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada",Ubiquitous,True
114,859,Calcite,2683.0,2858.0,"Kuittila Prospect, Ilomantsi, North Karelia, Finland",Ubiquitous,True
136,859,Calcite,2782.0,2969.0,"Gravelotte, Murchison Range, Limpopo, South Africa",Ubiquitous,True
137,859,Calcite,2800.0,2932.0,"Sherlock Bay Deposit, Roebourne, Roebourne Shire, Western Australia, Australia",Ubiquitous,True
138,859,Calcite,3050.0,3110.0,"New Consort Mine, Barberton, Ehlanzeni District, Mpumalanga, South Africa",Ubiquitous,True
141,859,Calcite,4010.0,4330.0,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",Ubiquitous,True
142,859,Calcite,4480.0,4620.0,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",Ubiquitous,True
144,934,Cerussite,65.0,3350.0,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia",Ubiquitous,True
145,934,Cerussite,541.0,2500.0,"Willow Creek District, San Miguel Co., New Mexico, USA",Ubiquitous,True
146,934,Cerussite,1600.0,2500.0,"Coxco Deposit, Borroloola, McArthur River Area, Roper Gulf Region, Northern Territory, Australia",Ubiquitous,True
147,934,Cerussite,1600.0,2500.0,"Pegmont Pb-Zn Deposit (Pegmont Mine), Selwyn District, Cloncurry Shire, Queensland, Australia",Ubiquitous,True
