id	mineral	min_age	max_age	locality_longname	rarity_group
447	Azurite	2701.0	2709.0	Jericho Mine, Bonya, Jervois Station, Central Desert Region, Northern Territory, Australia	Ubiquitous
447	Azurite	2701.0	2709.0	132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3040.0	3640.0	Barberton, Ehlanzeni District, Mpumalanga, South Africa	Ubiquitous
447	Azurite	3117.0	3351.0	Coppin Gap Cu-Mo Deposit (Spinifex Ridge), Bamboo Creek District, East Pilbara Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3200.0	3200.0	Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Eulaminna (Murrin Murrin Mining Centre), Leonora Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3200.0	3200.0	Nangaroo Copper Mine, Eulaminna (Murrin Murrin Mining Centre), Leonora Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3200.0	3200.0	Whundo Copper Mine, Karratha, Roebourne Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3200.0	3200.0	Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia	Ubiquitous
447	Azurite	3200.0	3200.0	Hongtoushan Mine, Qingyuan Co., Fushun, Liaoning, China	Ubiquitous
447	Azurite	3288.0	3326.0	Boobina Creek Prospect, Nullagine, East Pilbara Shire, Western Australia, Australia	Ubiquitous
669	Bijvoetite-(Y)	2587.0	2615.0	Bikita Pegmatite, Bikita Area, Masvingo, Zimbabwe	Generally Rare
687	Bismutite	19.0	2662.61	Fremont Co., Wyoming, USA	Ubiquitous
687	Bismutite	1363.0	3026.0	Moly Hill Mine, La Motte, Abitibi RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada	Ubiquitous
687	Bismutite	1600.0	2500.0	Cummins City, North Park, Jackson Co., Colorado, USA	Ubiquitous
687	Bismutite	2220.0	2918.0	Wodgina Tantalite Mine (Wodgina Pegmatite; Main Tantalite Dyke), Wodgina, Abydos Station, Port Hedland Shire, Western Australia, Australia	Ubiquitous
687	Bismutite	2550.0	2550.0	Barbara Gold Mine (SBS 28 Complex; Shirl-Barbara-Surprise Complex), Coolgardie, Coolgardie Shire, Western Australia, Australia	Ubiquitous
687	Bismutite	2550.0	2613.0	Londonderry Li Deposit (Londonderry Feldspar Quarry; Fraser's Find; Frazer's Find; Scahill's Quarry), Nepean, Coolgardie Shire, Western Australia, Australia	Ubiquitous
687	Bismutite	2823.0	2950.0	Cooglegong Pegmatite Field, Shaw River District, East Pilbara Shire, Western Australia, Australia	Ubiquitous
687	Bismutite	2835.0	2835.0	Mount Francisco, Mugarinya Community (Yandearra; Yandeearra; Yandeyarra), Port Hedland Shire, Western Australia, Australia	Ubiquitous
859	Calcite	0.0	2500.0	Paratoo Copper Mine, Yunta, Olary Province, South Australia, Australia	Ubiquitous
859	Calcite	0.0	4700.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia	Ubiquitous
859	Calcite	541.0	2500.0	Photo Lake Mine, Snow Lake, Snow Lake District, Manitoba, Canada	Ubiquitous
859	Calcite	541.0	2500.0	Macassa Mine, Kirkland Lake Township (Teck Township), Timiskaming District, Ontario, Canada	Ubiquitous
859	Calcite	541.0	2500.0	Coronation Mine, Amisk Lake District, Saskatchewan, Canada	Ubiquitous
859	Calcite	541.0	2500.0	Yinachang Fe-Cu-REE Deposit, Wuding Co., Chuxiong, Yunnan, China	Ubiquitous
859	Calcite	541.0	2500.0	Samiuki Mine, Um Samiuki, Eastern Desert, Red Sea, Egypt	Ubiquitous
859	Calcite	541.0	2500.0	PyhÃ¤salmi Mine, PyhÃ¤jÃ¤rvi, North Ostrobothnia, Finland	Ubiquitous
859	Calcite	541.0	2500.0	Al Hajar Mine, Mintaqah 'Asir, Saudi Arabia	Ubiquitous
859	Calcite	541.0	2500.0	Pilanesberg Mtn, Pilanesberg Alkaline Complex, Bojanala Platinum District, North West, South Africa	Ubiquitous
859	Calcite	541.0	2500.0	Boliden Mine (SkellefteÃ¥ Mine), Boliden, Skellefte Mining District, SkellefteÃ¥, VÃ¤sterbotten County, Sweden	Ubiquitous
