id,mineral,min_age,max_age,locality_longname,rarity_group
239,Ankerite,1500.0,1500.0,"Vermilion Mine, Denison Township, Sudbury District, Ontario, Canada",Ubiquitous
239,Ankerite,1500.0,1500.0,"Spar Lake Deposit (Troy Prospect), Troy Mining District, Lincoln Co., Montana, USA",Ubiquitous
239,Ankerite,1575.0,1601.0,"Century Mine, Lawn Hill, Burke Shire, Queensland, Australia",Ubiquitous
239,Ankerite,1632.0,1643.0,"McArthur River Mine (McArthur Mine; HYC Deposit), Borroloola, Roper Gulf Region, Northern Territory, Australia",Ubiquitous
239,Ankerite,1640.0,1640.0,"Iron King Mine (Lime Rock Patented Claim 1714; Copper Platter Patented Claim 1714; Patented Claims 1714), Humboldt, Big Bug District, Prescott Quadrangle, Bradshaw Mts (Bradshaw Range), Yavapai Co., Arizona, USA",Ubiquitous
239,Ankerite,1643.0,1666.0,"Lady Loretta Deposit (Lady Loretta Prospect), Gunpowder District, Mount Isa City Shire, Queensland, Australia",Ubiquitous
239,Ankerite,1645.0,1923.0,"Tiksheozero Massif (Tkishozerskii Massif; Tiksheozersky), Republic Of Karelia, Russia",Ubiquitous
239,Ankerite,1800.0,1800.0,"Ruttan Mine, Ruttan Lake, Rusty Lake District, Manitoba, Canada",Ubiquitous
239,Ankerite,1820.0,1820.0,"Flambeau Mine, Ladysmith, Ladysmith-Rhinelander Metavolcanic Complex, Rusk Co., Wisconsin, USA",Ubiquitous
239,Ankerite,1828.0,1855.0,"Wulashan Au Deposit, Wulashan Mining District, Binhe New District, Baotou League (Baotou Prefecture), Inner Mongolia, China",Ubiquitous
239,Ankerite,1850.0,1850.0,"Dahongshan Fe-Cu Deposit, Xinping Co., Yuxi, Yunnan, China",Ubiquitous
239,Ankerite,1930.0,1930.0,"Pahtohavare Cu-Au Deposit, Kiruna District, Kiruna, Norrbotten County, Sweden",Ubiquitous
239,Ankerite,1998.0,2100.0,"Bushy Park Pb-Zn Deposit, Griquatown, Griqualand, Northern Cape, South Africa",Ubiquitous
239,Ankerite,2076.0,2200.0,"Tongkuangyu Cu Deposit, Zhongtiaoshan Ore Field, Yuanqu Co., Yuncheng, Shanxi, China",Ubiquitous
239,Ankerite,2100.0,2100.0,"Nechalacho Deposit, Thor Lake Syenite Complex, Blachford Lake Alkaline Complex, Mackenzie District, Northwest Territories, Canada",Ubiquitous
239,Ankerite,2200.0,2400.0,"Adams Mine, Kalahari Manganese Field, Northern Cape, South Africa",Ubiquitous
239,Ankerite,2475.0,2475.0,"McIntyre Mine (Pamour Mine), Tisdale Township, Porcupine Mining District, Timmins Area, Cochrane District, Ontario, Canada",Ubiquitous
307,Aragonite,0.0117,541.0,"Lord Brassey Mine, Heazlewood District, Waratah-Wynyard Municipality, Tasmania, Australia",Ubiquitous
307,Aragonite,64.0,1800.0,"Shinkolobwe Mine (Kasolo Mine), Shinkolobwe, Kambove District, Haut-Katanga, DR Congo",Ubiquitous
307,Aragonite,100.0,600.0,"Johanngeorgenstadt, Johanngeorgenstadt Mining District, Erzgebirge District, Saxony, Germany",Ubiquitous
307,Aragonite,100.0,1850.0,"Huili Co., Liangshan, Sichuan, China",Ubiquitous
307,Aragonite,110.0,2038.0,"Aldan Shield, Sakha Republic (Yakutia), Russia",Ubiquitous
307,Aragonite,360.0,1160.0,"Kokchetav Massif, Zerendy, Akmola Region, Kazakhstan",Ubiquitous
307,Aragonite,427.7,2070.0,"Bayan Obo Deposit (Bayun-Obo Deposit; Baiyunebo Deposit), Bayan Obo, Bayan Obo Mining District, Baotou League (Baotou Prefecture), Inner Mongolia, China",Ubiquitous
307,Aragonite,470.0,1600.0,"Long Lake Zinc Mine (Richardson Zinc Mine; Lynx Mine), Olden Township, Frontenac Co., Ontario, Canada",Ubiquitous
307,Aragonite,519.0,541.0,"Tsumeb Mine (Tsumcorp Mine), Tsumeb, Oshikoto Region, Namibia",Ubiquitous
307,Aragonite,521.0,541.0,"Angas Mine, Strathalbyn, South Mt Lofty Ranges (Adelaide Hills), Mt Lofty Ranges, South Australia, Australia",Ubiquitous
307,Aragonite,537.0,601.0,"Kombat Mine (Klein Otavi; Asis), Kombat, Grootfontein, Otjozondjupa Region, Namibia",Ubiquitous
307,Aragonite,541.0,1000.0,"Guanmenshan Pb-Zn Deposit, Fushun Co., Fushun, Liaoning, China",Ubiquitous
