name,imayear,discovery_year,yearrruff,locality_counts,rarity_group
Cameronite,,1986.0,1984.0,1.0,Endemic
Camgasite,,1989.0,1988.0,1.0,Endemic
Caminite,,1983.0,1983.0,4.0,Generally Rare
Campigliaite,1981.0,1981.0,1981.0,6.0,Transitional
Campostriniite,2013.0,,2013.0,1.0,Endemic
Canaphite,1983.0,1983.0,1983.0,3.0,Generally Rare
Canasite,,,1959.0,7.0,Transitional
Canavesite,1977.0,1972.0,1977.0,2.0,Generally Rare
Cancrinite,,1839.0,1833.0,374.0,Ubiquitous
Cancrisilite,1990.0,1990.0,1990.0,8.0,Transitional
Canfieldite,,1893.0,1894.0,103.0,Ubiquitous
Cannizzarite,1924.0,1924.0,1924.0,46.0,Transitional
Cannonite,,1992.0,1992.0,29.0,Transitional
Canosioite,2015.0,,2015.0,2.0,Generally Rare
Canutite,2013.0,,2013.0,1.0,Endemic
Caoxite,,,1996.0,1.0,Endemic
Capgaronnite,,1992.0,1990.0,12.0,Transitional
Cappelenite-(Y),,1884.0,1884.0,5.0,Transitional
Capranicaite,2010.0,,2009.0,1.0,Endemic
Caracolite,,1886.0,1886.0,24.0,Transitional
Carboborite,,1964.0,1964.0,6.0,Transitional
Carbobystrite,2009.0,,2009.0,1.0,Endemic
Carbocernaite,,1961.0,1961.0,45.0,Transitional
Carboirite,,1983.0,1980.0,2.0,Generally Rare
Carbokentbrooksite,2002.0,,2002.0,1.0,Endemic
Carbonatecyanotrichite,,1963.0,1963.0,103.0,Ubiquitous
Cardite,,,2016.0,1.0,Endemic
Carducciite,,,2013.0,1.0,Endemic
Caresite,1992.0,,1992.0,2.0,Generally Rare
Carletonite,,1971.0,1969.0,3.0,Generally Rare
Carletonmooreite,,,2018.0,1.0,Endemic
Carlfrancisite,2012.0,,2012.0,3.0,Generally Rare
Carlfriesite,,1975.0,1973.0,6.0,Transitional
Carlgieseckeite-(Nd),2010.0,,2010.0,1.0,Endemic
Carlhintzeite,,1979.0,1978.0,10.0,Transitional
Carlinite,,1975.0,1974.0,2.0,Generally Rare
Carlosbarbosaite,2010.0,,2010.0,6.0,Transitional
Carlosruizite,,1994.0,1993.0,2.0,Generally Rare
Carlosturanite,,1985.0,1984.0,17.0,Transitional
Carlsbergite,,1971.0,1971.0,28.0,Transitional
Carlsonite,2014.0,,2014.0,1.0,Endemic
Carmeltazite,,,2018.0,2.0,Generally Rare
Carmichaelite,,,1996.0,2.0,Generally Rare
Carminite,,1850.0,1850.0,230.0,Ubiquitous
Carnallite,,1856.0,1856.0,160.0,Ubiquitous
Carnotite,,1899.0,1899.0,1315.0,Ubiquitous
Carobbiite,,1956.0,1956.0,6.0,Transitional
Carpathite,,1955.0,1955.0,8.0,Transitional
Carpholite,,1817.0,1817.0,40.0,Transitional
Carraraite,,,1998.0,4.0,Generally Rare
Carrboydite,2012.0,1974.0,1974.0,3.0,Generally Rare
Carrollite,,,1852.0,181.0,Ubiquitous
Caryinite,,1874.0,1874.0,5.0,Transitional
Caryochroite,2005.0,,2005.0,1.0,Endemic
Caryopilite,,1889.0,1889.0,92.0,Ubiquitous
Cascandite,1980.0,1980.0,1980.0,6.0,Transitional
Caseyite,2013.0,,2019.0,3.0,Generally Rare
Cassagnaite,2007.0,,2006.0,1.0,Endemic
Cassedanneite,1984.0,,1984.0,4.0,Generally Rare
Cassidyite,1966.0,,1966.0,1.0,Endemic
Cassiterite,,1832.0,1832.0,5681.0,Ubiquitous
Castellaroite,2015.0,,2015.0,3.0,Generally Rare
Caswellsilverite,,1982.0,1981.0,6.0,Transitional
Catalanoite,2002.0,,2002.0,1.0,Endemic
Catamarcaite,2003.0,,2003.0,2.0,Generally Rare
Catapleiite,,1850.0,1850.0,159.0,Ubiquitous
Cattierite,,1945.0,1945.0,37.0,Transitional
Cattiite,2000.0,2000.0,2000.0,9.0,Transitional
Cavansite,1967.0,1967.0,1967.0,17.0,Transitional
Cavoite,2001.0,,2001.0,10.0,Transitional
Cayalsite-(Y),2012.0,,2011.0,3.0,Generally Rare
Caysichite-(Y),,1969.0,1973.0,10.0,Transitional
Cebaite-(Ce),,,1983.0,9.0,Transitional
Cebollite,1914.0,1914.0,1914.0,17.0,Transitional
Čechite,,1981.0,1980.0,6.0,Transitional
Čejkaite,,,1999.0,13.0,Transitional
Celadonite,,1847.0,1847.0,371.0,Ubiquitous
Celestine,,1791.0,1778.0,1475.0,Ubiquitous
Celleriite,2013.0,,2020.0,2.0,Generally Rare
Celsian,,1895.0,1895.0,118.0,Ubiquitous
Centennialite,2013.0,,2013.0,1.0,Endemic
Cerchiaraite-(Al),2012.0,,2012.0,5.0,Transitional
Cerchiaraite-(Fe),2012.0,,2012.0,8.0,Transitional
Cerchiaraite-(Mn),,,1999.0,2.0,Generally Rare
Cerianite-(Ce),,,1955.0,121.0,Ubiquitous
Cerite-(Ce),,,1804.0,61.0,Transitional
Cerium,2000.0,,2002.0,2.0,Generally Rare
