name,imayear,discovery_year,yearrruff,locality_counts,rarity_group
Ferriallanite-(La),2011.0,,2010.0,2.0,Generally Rare
Ferriandrosite-(La),2013.0,,2013.0,1.0,Endemic
Ferribushmakinite,2014.0,,2014.0,1.0,Endemic
Ferricerite-(La),2001.0,2001.0,2001.0,4.0,Generally Rare
Ferricopiapite,,1938.0,1939.0,54.0,Transitional
Ferricoronadite,2016.0,,2015.0,4.0,Generally Rare
Ferrierite-K,,,1997.0,10.0,Transitional
Ferrierite-Mg,,,1918.0,37.0,Transitional
Ferrierite-Na,,,1997.0,7.0,Transitional
Ferrierite-NH4,2013.0,,,4.0,Generally Rare
Ferrihollandite,2011.0,,1906.0,5.0,Transitional
Ferrihydrite,1971.0,1971.0,1971.0,103.0,Ubiquitous
Ferrilotharmeyerite,1986.0,1986.0,1986.0,8.0,Transitional
Ferrimolybdite,,1914.0,1907.0,377.0,Ubiquitous
Ferrinatrite,,1889.0,1889.0,29.0,Transitional
Ferriperbøeite-(Ce),2013.0,,2017.0,4.0,Generally Rare
Ferriperbøeite-(La),,,2018.0,1.0,Endemic
Ferriprehnite,,,2020.0,1.0,Endemic
Ferripyrophyllite,1978.0,1978.0,1978.0,10.0,Transitional
Ferrirockbridgeite,,,2018.0,2.0,Generally Rare
Ferrisanidine,,2018.0,2019.0,4.0,Generally Rare
Ferrisepiolite,2010.0,,2010.0,7.0,Transitional
Ferrisicklerite,,1937.0,1937.0,126.0,Ubiquitous
Ferristrunzite,1986.0,1986.0,1986.0,15.0,Transitional
Ferrisurite,,1989.0,1990.0,4.0,Generally Rare
Ferrisymplesite,,1924.0,1924.0,24.0,Transitional
Ferrivauxite,2014.0,,2014.0,1.0,Endemic
Ferro-actinolite,,1946.0,1946.0,156.0,Ubiquitous
Ferro-anthophyllite,,,1921.0,6.0,Transitional
Ferro-edenite,,,1946.0,73.0,Ubiquitous
Ferro-ferri-fluoro-leakeite,,,1993.0,3.0,Generally Rare
Ferro-ferri-hornblende,2015.0,,2015.0,1.0,Endemic
Ferro-ferri-katophorite,,,2016.0,8.0,Transitional
Ferro-ferri-nybøite,2013.0,,2013.0,6.0,Transitional
Ferro-ferri-obertiite,2009.0,1998.0,2009.0,2.0,Generally Rare
Ferro-ferri-pedrizite,2012.0,,2003.0,1.0,Endemic
Ferro-fluoro-edenite,2012.0,,2020.0,2.0,Generally Rare
Ferro-fluoro-pedrizite,2012.0,,2008.0,1.0,Endemic
Ferro-gedrite,,1939.0,1939.0,15.0,Transitional
Ferro-glaucophane,,1957.0,1957.0,30.0,Transitional
Ferro-holmquistite,2004.0,1978.0,2004.0,1.0,Endemic
Ferro-hornblende,,1978.0,1978.0,300.0,Ubiquitous
Ferro-katophorite,2012.0,,1894.0,47.0,Transitional
Ferro-papikeite,,,2020.0,6.0,Transitional
Ferro-pargasite,,1961.0,1961.0,72.0,Ubiquitous
Ferro-pedrizite,2014.0,,2014.0,1.0,Endemic
Ferro-richterite,,1978.0,1946.0,54.0,Transitional
Ferro-taramite,2012.0,,2006.0,1.0,Endemic
Ferro-tschermakite,,1945.0,2016.0,32.0,Transitional
Ferroalluaudite,,,1957.0,13.0,Transitional
Ferroaluminoceladonite,,1997.0,1995.0,8.0,Transitional
Ferrobobfergusonite,2013.0,,2017.0,1.0,Endemic
Ferrobustamite,,1973.0,1937.0,26.0,Transitional
Ferrocarpholite,,1929.0,1951.0,27.0,Transitional
Ferroceladonite,,1997.0,1995.0,11.0,Transitional
Ferrochiavennite,2012.0,1976.0,2012.0,2.0,Generally Rare
Ferroefremovite,,,2019.0,1.0,Endemic
Ferroericssonite,2010.0,,2010.0,4.0,Generally Rare
Ferrohexahydrite,,1962.0,1947.0,25.0,Transitional
Ferrohögbomite-2N2S,2001.0,,2001.0,12.0,Transitional
Ferroindialite,,,2013.0,7.0,Transitional
Ferrokentbrooksite,1999.0,,1999.0,17.0,Transitional
Ferrokësterite,,,1985.0,16.0,Transitional
Ferrokinoshitalite,,,1999.0,4.0,Generally Rare
Ferrolaueite,1987.0,,1987.0,7.0,Transitional
Ferromerrillite,2006.0,,2006.0,5.0,Transitional
Ferronickelplatinum,,1983.0,1982.0,15.0,Transitional
Ferronigerite-2N1S,,,,18.0,Transitional
Ferronigerite-6N6S,,,,4.0,Generally Rare
Ferronordite-(Ce),,,1997.0,6.0,Transitional
Ferronordite-(La),2000.0,,2000.0,1.0,Endemic
Ferrorhodonite,,2015.0,2016.0,5.0,Transitional
Ferrorockbridgeite,,,2018.0,2.0,Generally Rare
Ferrorosemaryite,2003.0,,2003.0,1.0,Endemic
Ferrosaponite,2002.0,,2002.0,16.0,Transitional
Ferroselite,,1955.0,1955.0,64.0,Transitional
Ferrosilite,,1935.0,1935.0,100.0,Ubiquitous
Ferroskutterudite,2006.0,,2006.0,7.0,Transitional
Ferrostalderite,2014.0,,2014.0,1.0,Endemic
Ferrostrunzite,1983.0,1983.0,1983.0,23.0,Transitional
Ferrotaaffeite-2N’2S,2011.0,,,1.0,Endemic
Ferrotaaffeite-6N'3S,,,,1.0,Endemic
Ferrotitanowodginite,,,1998.0,5.0,Transitional
Ferrotochilinite,2011.0,,2010.0,1.0,Endemic
Ferrotychite,,1981.0,1980.0,2.0,Generally Rare
Ferrovalleriite,2011.0,2002.0,1970.0,1.0,Endemic
Ferrovorontsovite,,2016.0,2017.0,1.0,Endemic
Ferrowodginite,,1992.0,1984.0,21.0,Transitional
Ferrowyllieite,,1979.0,1979.0,8.0,Transitional
Ferruccite,,1933.0,1933.0,3.0,Generally Rare
Fersmanite,,1929.0,1929.0,15.0,Transitional
Fersmite,,1946.0,1946.0,112.0,Ubiquitous
Feruvite,,1989.0,1987.0,21.0,Transitional
Fervanite,,1931.0,1931.0,13.0,Transitional
Fetiasite,,1986.0,1991.0,4.0,Generally Rare
Fettelite,1994.0,,1994.0,8.0,Transitional
Feynmanite,2013.0,,2017.0,2.0,Generally Rare
Fianelite,1995.0,,1995.0,3.0,Generally Rare
Fibroferrite,,1833.0,1833.0,127.0,Ubiquitous
Fichtelite,,1841.0,1841.0,6.0,Transitional
Fiedlerite,,1887.0,1887.0,18.0,Transitional
Fiemmeite,,,2018.0,1.0,Endemic
Filatovite,2002.0,1983.0,2002.0,1.0,Endemic
Filipstadite,,1988.0,1987.0,3.0,Generally Rare
Fillowite,,1879.0,1879.0,18.0,Transitional
Finchite,2013.0,,2017.0,3.0,Generally Rare
Fingerite,1983.0,1983.0,1983.0,2.0,Generally Rare
Finnemanite,,1923.0,1923.0,4.0,Generally Rare
Fischesserite,,1971.0,1971.0,30.0,Transitional
Fivegite,2009.0,,2009.0,1.0,Endemic
Fizélyite,,,1923.0,64.0,Transitional
Flagstaffite,,1920.0,1920.0,1.0,Endemic
Flamite,2013.0,,2013.0,8.0,Transitional
Fleetite,,,2020.0,1.0,Endemic
Fleischerite,,1957.0,1960.0,2.0,Generally Rare
Fleisstalite,,,2016.0,1.0,Endemic
Fletcherite,,1977.0,1976.0,15.0,Transitional
Flinkite,,1889.0,1889.0,6.0,Transitional
Flinteite,2014.0,,2014.0,4.0,Generally Rare
Florencite-(Ce),,,1899.0,92.0,Ubiquitous
Florencite-(La),,,1980.0,13.0,Transitional
Florencite-(Nd),,,1971.0,6.0,Transitional
Florencite-(Sm),2009.0,,2009.0,1.0,Endemic
Florenskyite,1999.0,,1999.0,2.0,Generally Rare
Florensovite,,1989.0,1987.0,1.0,Endemic
Flörkeite,2008.0,,2008.0,6.0,Transitional
Fluckite,,1980.0,1978.0,6.0,Transitional
Fluellite,,1824.0,1824.0,49.0,Transitional
Fluoborite,,1926.0,1926.0,60.0,Transitional
Fluocerite-(Ce),,,1832.0,47.0,Transitional
Fluocerite-(La),,,1969.0,4.0,Generally Rare
Fluor-buergerite,2011.0,1966.0,1965.0,5.0,Transitional
Fluor-dravite,2010.0,,2009.0,12.0,Transitional
Fluor-elbaite,2011.0,,2011.0,35.0,Transitional
Fluor-liddicoatite,2011.0,,1976.0,15.0,Transitional
Fluor-schorl,2011.0,,2010.0,32.0,Transitional
Fluor-tsilaisite,2012.0,,2012.0,2.0,Generally Rare
Fluor-uvite,2010.0,1929.0,1930.0,24.0,Transitional
Fluorannite,,,1999.0,6.0,Transitional
Fluorapatite,,1823.0,1786.0,3243.0,Ubiquitous
Fluorapophyllite-(Cs),2013.0,,2019.0,1.0,Endemic
Fluorapophyllite-(K),1976.0,1976.0,1806.0,342.0,Ubiquitous
Fluorapophyllite-(Na),1976.0,1976.0,1976.0,12.0,Transitional
Fluorapophyllite-(NH₄),,,,1.0,Endemic
Fluorarrojadite-(BaFe),2006.0,,2005.0,2.0,Generally Rare
Fluorarrojadite-(BaNa),,,2016.0,2.0,Generally Rare
Fluorbarytolamprophyllite,2013.0,,2017.0,2.0,Generally Rare
Fluorbritholite-(Ce),1991.0,,1991.0,23.0,Transitional
Fluorbritholite-(Y),2009.0,,2009.0,9.0,Transitional
Fluorcalciobritholite,2006.0,1977.0,2006.0,6.0,Transitional
Fluorcalciomicrolite,2012.0,,2012.0,16.0,Transitional
Fluorcalciopyrochlore,2013.0,,2013.0,29.0,Transitional
Fluorcalcioroméite,2012.0,1999.0,2012.0,12.0,Transitional
Fluorcanasite,2007.0,,2007.0,1.0,Endemic
Fluorcaphite,1996.0,,1996.0,6.0,Transitional
Fluorcarletonite,,,2019.0,1.0,Endemic
Fluorcarmoite-(BaNa),2015.0,,2015.0,1.0,Endemic
Fluorchegemite,2012.0,,2011.0,3.0,Generally Rare
Fluorellestadite,1987.0,1982.0,1987.0,43.0,Transitional
Fluorite,,1529.0,1530.0,10963.0,Ubiquitous
Fluorkyuygenite,2013.0,,2013.0,5.0,Transitional
Fluorlamprophyllite,2013.0,,2013.0,3.0,Generally Rare
Fluorluanshiweiite,,,2019.0,1.0,Endemic
Fluormayenite,,,2013.0,7.0,Transitional
Fluornatrocoulsellite,2009.0,1990.0,2009.0,5.0,Transitional
Fluornatromicrolite,1998.0,,1998.0,19.0,Transitional
Fluornatropyrochlore,2013.0,,2013.0,16.0,Transitional
Fluoro-cannilloite,1996.0,,1993.0,6.0,Transitional
Fluoro-edenite,2000.0,,1994.0,33.0,Transitional
Fluoro-leakeite,2009.0,,2009.0,2.0,Generally Rare
Fluoro-nybøite,2002.0,,2002.0,1.0,Endemic
Fluoro-pargasite,2003.0,,2003.0,11.0,Transitional
Fluoro-pedrizite,2012.0,,2004.0,1.0,Endemic
Fluoro-richterite,1994.0,,1992.0,27.0,Transitional
Fluoro-riebeckite,,1978.0,1978.0,3.0,Generally Rare
Fluoro-taramite,2006.0,,2006.0,1.0,Endemic
Fluoro-tremolite,,,2016.0,12.0,Transitional
Fluorocronite,2010.0,,2010.0,1.0,Endemic
Fluorokinoshitalite,2010.0,,2010.0,2.0,Generally Rare
Fluorophlogopite,2006.0,,2006.0,65.0,Transitional
Fluorotetraferriphlogopite,2010.0,,2010.0,4.0,Generally Rare
Fluorowardite,2012.0,,2012.0,1.0,Endemic
Fluorphosphohedyphane,2009.0,,2008.0,6.0,Transitional
Fluorstrophite,1962.0,,1962.0,11.0,Transitional
Fluorvesuvianite,2000.0,,2000.0,3.0,Generally Rare
Fluorwavellite,2015.0,,2015.0,27.0,Transitional
Flurlite,2014.0,,2014.0,1.0,Endemic
Foggite,1973.0,1973.0,1973.0,6.0,Transitional
Fogoite-(Y),2015.0,,2014.0,2.0,Generally Rare
Foitite,,1993.0,1992.0,98.0,Ubiquitous
Folvikite,,1987.0,2016.0,1.0,Endemic
Fontanite,1991.0,1991.0,1991.0,2.0,Generally Rare
Fontarnauite,2014.0,2009.0,2009.0,1.0,Endemic
Foordite,,1988.0,1984.0,4.0,Generally Rare
Footemineite,2006.0,,2006.0,3.0,Generally Rare
Forêtite,2012.0,,2011.0,3.0,Generally Rare
Formanite-(Y),,,1944.0,13.0,Transitional
Formicaite,1998.0,,1998.0,4.0,Generally Rare
Fornacite,,1915.0,1915.0,109.0,Ubiquitous
Forsterite,,1824.0,1824.0,1424.0,Ubiquitous
Foshagite,,1925.0,1925.0,25.0,Transitional
Fougèrite,2003.0,,2003.0,24.0,Transitional
Fourmarierite,,1924.0,1924.0,73.0,Ubiquitous
Fowlerite,,,1832.0,7.0,Transitional
Fraipontite,,1927.0,1927.0,62.0,Transitional
Francevillite,,1957.0,1957.0,47.0,Transitional
Franciscanite,1985.0,1984.0,1985.0,3.0,Generally Rare
Francisite,,1990.0,1989.0,2.0,Generally Rare
Franckeite,,1893.0,1893.0,63.0,Transitional
Francoanellite,,1976.0,1974.0,9.0,Transitional
Françoisite-(Ce),2004.0,,2004.0,2.0,Generally Rare
Françoisite-(Nd),1987.0,,1987.0,6.0,Transitional
Franconite,,1984.0,1981.0,7.0,Transitional
Frankamenite,,,1994.0,4.0,Generally Rare
Frankdicksonite,1974.0,1974.0,1974.0,4.0,Generally Rare
Frankhawthorneite,,1995.0,1993.0,3.0,Generally Rare
Franklinfurnaceite,,1987.0,1986.0,1.0,Endemic
Franklinite,,1819.0,1819.0,69.0,Transitional
Franklinphilite,,1992.0,1990.0,3.0,Generally Rare
Fransoletite,1982.0,1982.0,1982.0,1.0,Endemic
Franzinite,1976.0,1976.0,1976.0,11.0,Transitional
Freboldite,,1957.0,1957.0,4.0,Generally Rare
Fredrikssonite,1983.0,1983.0,1983.0,2.0,Generally Rare
Freedite,,1985.0,1984.0,4.0,Generally Rare
Freibergite Subgroup,,1853.0,,795.0,Ubiquitous
Freieslebenite,,1773.0,1845.0,130.0,Ubiquitous
Freitalite,,1987.0,2020.0,1.0,Endemic
Fresnoite,,1960.0,1964.0,22.0,Transitional
Freudenbergite,,1961.0,1961.0,10.0,Transitional
Friedelite,,1876.0,1876.0,55.0,Transitional
Friedrichbeckeite,2008.0,,2008.0,1.0,Endemic
Friedrichite,1977.0,1977.0,1977.0,53.0,Transitional
Fritzscheite,,1865.0,1865.0,4.0,Generally Rare
Frohbergite,,1946.0,1947.0,47.0,Transitional
Frolovite,,1957.0,1957.0,3.0,Generally Rare
Frondelite,,1949.0,1949.0,65.0,Transitional
Froodite,,1958.0,1958.0,76.0,Ubiquitous
Fuenzalidaite,,1994.0,1993.0,4.0,Generally Rare
Fuettererite,2012.0,,2011.0,3.0,Generally Rare
Fukalite,1976.0,1976.0,1976.0,9.0,Transitional
Fukuchilite,,1969.0,1967.0,11.0,Transitional
Fulbrightite,2013.0,,2019.0,2.0,Generally Rare
Fülöppite,,,1929.0,66.0,Transitional
Furongite,,1976.0,1976.0,3.0,Generally Rare
Furutobeite,,1981.0,1978.0,10.0,Transitional
Gabrielite,2002.0,,2002.0,1.0,Endemic
Gabrielsonite,1966.0,1966.0,1966.0,1.0,Endemic
Gadolinite-(Ce),1987.0,,1978.0,44.0,Transitional
Gadolinite-(Nd),,,2016.0,3.0,Generally Rare
Gadolinite-(Y),,,1802.0,192.0,Ubiquitous
Gagarinite-(Ce),2010.0,,1993.0,1.0,Endemic
Gagarinite-(Y),,,1961.0,12.0,Transitional
Gageite,,1910.0,1910.0,15.0,Transitional
Gahnite,,1807.0,1807.0,507.0,Ubiquitous
Gaidonnayite,1974.0,1973.0,1973.0,31.0,Transitional
Gaildunningite,,,2018.0,1.0,Endemic
Gainesite,1978.0,1941.0,1978.0,1.0,Endemic
Gaitite,1978.0,1978.0,1978.0,8.0,Transitional
Gajardoite,2015.0,,2015.0,1.0,Endemic
Galaxite,,1932.0,1932.0,51.0,Transitional
Galeaclolusite,2013.0,,2020.0,1.0,Endemic
Galeite,,1955.0,1955.0,5.0,Transitional
Galena,,,0.0,27090.0,Ubiquitous
Galenobismutite,1990.0,,1878.0,222.0,Ubiquitous
Galgenbergite-(Ce),1997.0,,1997.0,6.0,Transitional
Galileiite,1996.0,,1996.0,5.0,Transitional
Galkhaite,,1972.0,1971.0,15.0,Transitional
Galliskiite,2009.0,,2009.0,1.0,Endemic
Gallite,,1958.0,1958.0,9.0,Transitional
Gallobeudantite,1994.0,,1994.0,1.0,Endemic
Galloplumbogummite,2010.0,,2010.0,1.0,Endemic
Galuskinite,2011.0,,2010.0,2.0,Generally Rare
Gamagarite,,1943.0,1943.0,10.0,Transitional
Gananite,,1984.0,1983.0,4.0,Generally Rare
Ganomalite,,1876.0,1876.0,8.0,Transitional
Ganophyllite,,1890.0,1890.0,55.0,Transitional
Ganterite,2000.0,,2000.0,3.0,Generally Rare
Gaotaiite,,,1993.0,1.0,Endemic
Garavellite,1978.0,1979.0,1978.0,11.0,Transitional
Garmite,2013.0,,2017.0,1.0,Endemic
Garnet Group,,,,7525.0,Ubiquitous
Garrelsite,,,1955.0,5.0,Transitional
Garronite-Ca,,1960.0,1962.0,70.0,Transitional
Garronite-Na,2015.0,,2015.0,1.0,Endemic
Gartrellite,,1989.0,1988.0,51.0,Transitional
Garutiite,2009.0,,2008.0,4.0,Generally Rare
Garyansellite,1981.0,1981.0,1981.0,4.0,Generally Rare
Gasparite-(Ce),,,1986.0,27.0,Transitional
Gasparite-(La),2013.0,,2018.0,8.0,Transitional
Gaspéite,,,1965.0,25.0,Transitional
Gatedalite,2013.0,,2013.0,1.0,Endemic
Gatehouseite,1992.0,1992.0,1992.0,2.0,Generally Rare
Gatelite-(Ce),2001.0,,2001.0,4.0,Generally Rare
Gatewayite,2015.0,,2014.0,1.0,Endemic
Gatumbaite,1976.0,1976.0,1976.0,7.0,Transitional
Gaudefroyite,1964.0,1964.0,1964.0,7.0,Transitional
Gaultite,,1994.0,1992.0,1.0,Endemic
Gauthierite,,,2016.0,1.0,Endemic
Gayite,2009.0,,2008.0,4.0,Generally Rare
Gaylussite,,1826.0,1826.0,64.0,Transitional
Gazeevite,2015.0,,2015.0,4.0,Generally Rare
Gearksutite,,1868.0,1868.0,80.0,Ubiquitous
Gebhardite,,1983.0,1979.0,1.0,Endemic
Gedrite,,1836.0,1836.0,195.0,Ubiquitous
Geerite,1978.0,1978.0,1978.0,50.0,Transitional
Geffroyite,,1982.0,1980.0,14.0,Transitional
Gehlenite,,1815.0,1815.0,135.0,Ubiquitous
Geigerite,1985.0,1985.0,1985.0,7.0,Transitional
Geikielite,,1892.0,1893.0,84.0,Ubiquitous
Gelosaite,2009.0,,2009.0,3.0,Generally Rare
Geminite,1988.0,1988.0,1988.0,10.0,Transitional
Gengenbachite,2006.0,,2001.0,1.0,Endemic
Genkinite,1976.0,1976.0,1976.0,18.0,Transitional
Genplesite,2014.0,,2014.0,2.0,Generally Rare
Genthelvite,,1944.0,1944.0,84.0,Ubiquitous
Geocronite,,1839.0,1841.0,162.0,Ubiquitous
Georgbarsanovite,2003.0,,2003.0,1.0,Endemic
Georgbokiite,1996.0,,1996.0,3.0,Generally Rare
George-ericksenite,,,1996.0,1.0,Endemic
Georgechaoite,,1985.0,1984.0,8.0,Transitional
Georgeite,,1979.0,1977.0,4.0,Generally Rare
Georgerobinsonite,2009.0,,2009.0,1.0,Endemic
Georgiadèsite,,1907.0,1907.0,7.0,Transitional
Gerasimovskite,1958.0,1957.0,1957.0,10.0,Transitional
Gerdtremmelite,,1985.0,1983.0,1.0,Endemic
Gerenite-(Y),,,1993.0,2.0,Generally Rare
Gerhardtite,,1885.0,1885.0,29.0,Transitional
Germanite,,1922.0,1922.0,43.0,Transitional
Germanocolusite,,1992.0,1991.0,6.0,Transitional
Gersdorffite-P213,,,,6.0,Transitional
Gersdorffite-Pa3,,,1986.0,1.0,Endemic
Gersdorffite-Pca21,,,,3.0,Generally Rare
Gerstleyite,1956.0,1956.0,1956.0,6.0,Transitional
Gerstmannite,1975.0,1975.0,1975.0,1.0,Endemic
Geschieberite,2014.0,,2014.0,1.0,Endemic
Getchellite,,1965.0,1965.0,20.0,Transitional
Geversite,,1961.0,1961.0,50.0,Transitional
Ghiaraite,,,2012.0,2.0,Generally Rare
Giacovazzoite,2013.0,,2019.0,1.0,Endemic
Gianellaite,1972.0,1972.0,1972.0,3.0,Generally Rare
Gibbsite,,1822.0,1822.0,583.0,Ubiquitous
Giessenite,,1963.0,1963.0,24.0,Transitional
Giftgrubeite,2013.0,,2017.0,4.0,Generally Rare
Gilalite,,1980.0,1979.0,8.0,Transitional
Gillardite,2007.0,,2006.0,3.0,Generally Rare
Gillespite,,1922.0,1922.0,12.0,Transitional
Gillulyite,1991.0,1990.0,1989.0,2.0,Generally Rare
Gilmarite,,,1996.0,10.0,Transitional
Giniite,1977.0,1977.0,1977.0,4.0,Generally Rare
Ginorite,,1934.0,1934.0,11.0,Transitional
Giorgiosite,,1879.0,1905.0,13.0,Transitional
Giraudite-(Zn),,,1980.0,9.0,Transitional
Girvasite,,1990.0,1988.0,3.0,Generally Rare
Gismondine,,1817.0,1817.0,156.0,Ubiquitous
Gittinsite,,1980.0,1979.0,28.0,Transitional
Giuseppettite,1979.0,1979.0,1979.0,5.0,Transitional
Gjerdingenite-Ca,2005.0,,2005.0,1.0,Endemic
Gjerdingenite-Fe,2001.0,1973.0,2001.0,1.0,Endemic
Gjerdingenite-Mn,2003.0,2002.0,2003.0,1.0,Endemic
Gjerdingenite-Na,2005.0,,2005.0,1.0,Endemic
Gladite,,1924.0,1924.0,74.0,Ubiquitous
Gladiusite,,,1998.0,3.0,Generally Rare
Gladkovskyite,,,2018.0,1.0,Endemic
Glagolevite,2001.0,,2001.0,4.0,Generally Rare
Glauberite,,1808.0,1808.0,162.0,Ubiquitous
Glaucocerinite,,1932.0,1932.0,22.0,Transitional
Glaucochroite,1975.0,1899.0,1899.0,9.0,Transitional
Glaucodot,,1849.0,1849.0,171.0,Ubiquitous
Glauconite,,1823.0,,545.0,Ubiquitous
Glaucophane,,1845.0,1845.0,335.0,Ubiquitous
Glaukosphaerite,,1971.0,1972.0,31.0,Transitional
Glikinite,2013.0,,2019.0,1.0,Endemic
Glucine,,1963.0,1963.0,2.0,Generally Rare
Glushinskite,,1960.0,1960.0,7.0,Transitional
Gmalimite,,,2019.0,1.0,Endemic
Gmelinite-Ca,,,1978.0,23.0,Transitional
Gmelinite-K,,,1999.0,7.0,Transitional
Gmelinite-Na,,,1825.0,31.0,Transitional
Gobbinsite,,1982.0,1980.0,19.0,Transitional
Gobelinite,,,2019.0,3.0,Generally Rare
Godlevskite,,1969.0,1968.0,48.0,Transitional
Godovikovite,1987.0,1987.0,1987.0,21.0,Transitional
Goedkenite,,1973.0,1974.0,3.0,Generally Rare
Goethite,,1806.0,1806.0,8599.0,Ubiquitous
Gold,,,0.0,32940.0,Ubiquitous
Goldfieldite,,1909.0,1909.0,88.0,Ubiquitous
Goldichite,,1955.0,1955.0,14.0,Transitional
Goldmanite,1963.0,1963.0,1963.0,36.0,Transitional
Goldquarryite,2001.0,,2001.0,1.0,Endemic
Goldschmidtite,2013.0,,2018.0,1.0,Endemic
Golyshevite,2004.0,,2004.0,1.0,Endemic
Gonnardite,,1896.0,1896.0,194.0,Ubiquitous
Gonyerite,,1955.0,1955.0,13.0,Transitional
Goosecreekite,,1979.0,1980.0,16.0,Transitional
Gorbunovite,2013.0,,2017.0,1.0,Endemic
Gorceixite,,1906.0,1906.0,147.0,Ubiquitous
Gordaite,1996.0,,1996.0,22.0,Transitional
Gordonite,,1930.0,1930.0,23.0,Transitional
Gorerite,,,2019.0,2.0,Generally Rare
Görgeyite,,,1953.0,13.0,Transitional
Gormanite,1977.0,1977.0,1977.0,31.0,Transitional
Gortdrumite,,1983.0,1979.0,5.0,Transitional
Goryainovite,2016.0,,2015.0,1.0,Endemic
Goslarite,,1845.0,1845.0,223.0,Ubiquitous
Gottardiite,1994.0,,1994.0,1.0,Endemic
Gottlobite,1998.0,,1998.0,1.0,Endemic
Götzenite,,1954.0,1957.0,36.0,Transitional
Goudeyite,1978.0,1978.0,1978.0,26.0,Transitional
Gowerite,,1955.0,1959.0,13.0,Transitional
Goyazite,,1884.0,1884.0,213.0,Ubiquitous
Graemite,1974.0,,1974.0,9.0,Transitional
Graeserite,,,1996.0,3.0,Generally Rare
Graftonite,,1900.0,1900.0,125.0,Ubiquitous
Graftonite-(Ca),2013.0,,2017.0,2.0,Generally Rare
Graftonite-(Mn),2013.0,,2017.0,3.0,Generally Rare
Gramaccioliite-(Y),2001.0,1976.0,2001.0,9.0,Transitional
Grammatikopoulosite,,,2020.0,1.0,Endemic
Grandaite,2013.0,,2013.0,1.0,Endemic
Grandidierite,,1902.0,1902.0,48.0,Transitional
Grandreefite,1988.0,1980.0,1988.0,2.0,Generally Rare
Grandviewite,2007.0,,2007.0,6.0,Transitional
Grantsite,,1961.0,1964.0,9.0,Transitional
Graphite,,,1789.0,3140.0,Ubiquitous
Graţianite,2013.0,,2013.0,2.0,Generally Rare
Gratonite,,1939.0,1939.0,36.0,Transitional
Grattarolaite,1995.0,1995.0,1995.0,2.0,Generally Rare
Graulichite-(Ce),2002.0,,2002.0,3.0,Generally Rare
Graulichite-(La),,,2021.0,1.0,Endemic
Gravegliaite,1990.0,1990.0,1990.0,3.0,Generally Rare
Grayite,,1957.0,1957.0,19.0,Transitional
Grechishchevite,,1989.0,1988.0,2.0,Generally Rare
Greenalite,,1903.0,1903.0,69.0,Transitional
Greenlizardite,2013.0,,2017.0,1.0,Endemic
Greenockite,,1840.0,1840.0,836.0,Ubiquitous
Greenwoodite,2010.0,,2010.0,1.0,Endemic
Gregoryite,,1980.0,1980.0,3.0,Generally Rare
Greifensteinite,2001.0,,2001.0,30.0,Transitional
Greigite,,1964.0,1963.0,73.0,Ubiquitous
Grenmarite,2003.0,1989.0,2003.0,2.0,Generally Rare
Grguricite,,,2020.0,1.0,Endemic
Griceite,,1989.0,1986.0,1.0,Endemic
Grigorievite,,,2012.0,1.0,Endemic
Grimaldiite,,1967.0,1967.0,6.0,Transitional
Grimmite,2013.0,,2020.0,3.0,Generally Rare
Grimselite,1971.0,1971.0,1971.0,5.0,Transitional
Griphite,,1891.0,1891.0,10.0,Transitional
Grischunite,1981.0,1981.0,1981.0,1.0,Endemic
Groatite,2008.0,,2008.0,1.0,Endemic
Grokhovskyite,,,2019.0,2.0,Generally Rare
Grootfonteinite,2015.0,,2015.0,1.0,Endemic
Grossite,,1994.0,1993.0,23.0,Transitional
Grossmanite,2009.0,,2008.0,2.0,Generally Rare
Grossular,,,1811.0,1823.0,Ubiquitous
Groutite,,1945.0,1945.0,80.0,Ubiquitous
Grumantite,1985.0,,1985.0,3.0,Generally Rare
Grumiplucite,1997.0,1997.0,1997.0,4.0,Generally Rare
Grundmannite,2015.0,,2015.0,3.0,Generally Rare
Grunerite,,,1853.0,254.0,Ubiquitous
Gruzdevite,1980.0,1980.0,1980.0,6.0,Transitional
Guanacoite,2003.0,1997.0,2003.0,4.0,Generally Rare
Guanajuatite,,1873.0,1873.0,43.0,Transitional
Guanine,1973.0,1844.0,1973.0,8.0,Transitional
Guarinoite,,1993.0,1991.0,3.0,Generally Rare
Gudmundite,,1928.0,1928.0,216.0,Ubiquitous
Guérinite,,,1961.0,38.0,Transitional
Guettardite,,1967.0,1966.0,14.0,Transitional
Gugiaite,1983.0,1959.0,1962.0,9.0,Transitional
Guidottiite,2009.0,,2009.0,1.0,Endemic
Guildite,,1928.0,1928.0,4.0,Generally Rare
Guilleminite,,1965.0,1964.0,4.0,Generally Rare
Guimarãesite,2006.0,,2006.0,2.0,Generally Rare
Guite,2013.0,,2017.0,1.0,Endemic
Gungerite,,,2020.0,1.0,Endemic
Gunningite,,1962.0,1962.0,58.0,Transitional
Günterblassite,2011.0,,2011.0,4.0,Generally Rare
Gunterite,2011.0,,2011.0,3.0,Generally Rare
Gupeiite,,1984.0,1983.0,5.0,Transitional
Gurimite,,,2013.0,3.0,Generally Rare
Gustavite,1967.0,1967.0,1967.0,133.0,Ubiquitous
Gutkovaite-Mn,2002.0,,2001.0,2.0,Generally Rare
