mineral,max_age,counts
Dolomite,1140.0,1
Malachite,1141.0,1
Azurite,1141.0,1
Calcite,1141.0,3
Dolomite,1144.2,1
Calcite,1144.2,1
Ankerite,1144.2,1
Cerussite,1160.0,1
Aragonite,1160.0,1
Malachite,1160.0,1
Calcite,1167.0,2
Siderite,1167.0,1
Dolomite,1167.0,1
Siderite,1171.0,1
Dolomite,1171.0,1
Calcite,1171.0,1
Dolomite,1175.0,1
Calcite,1175.0,1
Rhodochrosite,1175.0,1
Siderite,1175.0,1
Smithsonite,1180.0,1
Malachite,1180.0,1
Azurite,1180.0,1
Calcite,1180.0,1
Siderite,1180.0,1
Aragonite,1180.0,1
Calcite,1190.0,1
Calcite,1200.0,2
Calcite,1202.0,1
Calcite,1215.0,1
Malachite,1216.0,1
Azurite,1216.0,1
Calcite,1216.0,1
Dolomite,1219.0,1
Calcite,1219.0,1
Calcite,1229.47,1
Calcite,1240.0,1
Aragonite,1250.0,1
Calcite,1250.0,1
Calcite,1257.0,1
Dolomite,1257.0,1
Azurite,1257.0,1
Malachite,1257.0,1
Aragonite,1257.0,1
Azurite,1259.0,1
Cerussite,1259.0,1
Malachite,1259.0,1
Dolomite,1260.0,1
Calcite,1260.0,1
Calcite,1266.0,1
Malachite,1266.0,1
Calcite,1274.0,2
Malachite,1275.0,1
Siderite,1275.0,1
Calcite,1300.0,4
Rhodochrosite,1300.0,1
Siderite,1300.0,1
Smithsonite,1300.0,1
Cerussite,1300.0,1
Dolomite,1300.0,1
Ankerite,1300.0,1
Calcite,1304.0,1
Calcite,1344.0,1
Siderite,1344.0,1
Siderite,1350.0,1
Dolomite,1350.0,2
Smithsonite,1350.0,1
Ankerite,1350.0,1
Malachite,1370.02,1
Calcite,1379.0,1
Rhodochrosite,1379.0,1
Siderite,1390.04,1
Smithsonite,1400.0,1
Azurite,1400.0,2
Aragonite,1400.0,1
Calcite,1400.0,4
Dolomite,1400.0,2
Siderite,1400.0,1
Malachite,1400.0,6
Cerussite,1400.0,3
Calcite,1408.021,1
Dolomite,1408.021,1
Malachite,1410.67,1
Aragonite,1412.0,1
Siderite,1412.0,1
Azurite,1412.0,1
Malachite,1412.0,1
Siderite,1414.0,1
Calcite,1414.0,2
Dolomite,1414.0,1
Ankerite,1414.0,1
Calcite,1420.0,1
Dolomite,1420.01,1
Calcite,1420.01,1
Calcite,1430.0,1
Siderite,1430.0,2
Dolomite,1430.0,2
Rhodochrosite,1440.015,1
Ankerite,1445.0,1
Rhodochrosite,1445.0,1
Malachite,1445.0,2
Calcite,1445.0,1
Siderite,1445.0,2
Calcite,1450.025,1
Aragonite,1450.025,2
Rhodochrosite,1455.11,1
Malachite,1457.0,1
Calcite,1458.0,1
Azurite,1463.0,1
Malachite,1463.0,1
Malachite,1471.017,1
Calcite,1475.0,1
Dolomite,1477.0,1
Calcite,1480.0,1
Dolomite,1480.0,1
Calcite,1488.77,1
Siderite,1500.0,2
Malachite,1500.0,4
Azurite,1500.0,5
Dolomite,1500.0,8
Calcite,1500.0,10
Ankerite,1500.0,2
Dolomite,1510.0,1
Aragonite,1521.74,1
Dolomite,1521.74,1
Calcite,1521.74,1
Smithsonite,1521.74,1
Malachite,1521.74,1
Siderite,1521.74,1
Calcite,1530.0,1
Azurite,1530.0,1
Malachite,1530.0,1
Dolomite,1540.0,1
Ankerite,1547.0,1
Calcite,1565.0,1
Malachite,1565.0,1
Dolomite,1565.0,1
Ankerite,1565.0,1
Calcite,1571.0,1
Calcite,1575.0,1
Cerussite,1585.82,1
Cerussite,1590.0,1
Siderite,1590.0,1
Calcite,1590.0,1
Azurite,1590.0,1
Malachite,1590.0,1
Dolomite,1600.0,8
Aragonite,1600.0,1
Cerussite,1600.0,1
Siderite,1600.0,4
Calcite,1600.0,11
Ankerite,1600.0,1
Smithsonite,1600.0,3
Siderite,1601.0,1
Ankerite,1601.0,1
Dolomite,1601.0,1
Dolomite,1612.45,1
Calcite,1612.45,1
Azurite,1625.4,1
Malachite,1625.4,1
Rhodochrosite,1630.0,1
Siderite,1640.0,3
Cerussite,1640.0,2
Calcite,1640.0,2
Ankerite,1640.0,1
Dolomite,1640.0,2
Azurite,1640.0,2
Malachite,1640.0,2
Dolomite,1643.0,1
Calcite,1643.0,1
Ankerite,1643.0,1
Cerussite,1650.0,1
Siderite,1655.0,1
Aragonite,1655.0,1
Azurite,1655.0,1
Ankerite,1655.0,1
Calcite,1659.0,1
Calcite,1660.0,1
Azurite,1665.0,1
Calcite,1665.0,1
Malachite,1665.0,1
Cerussite,1665.0,1
Dolomite,1665.0,1
Ankerite,1666.0,1
Cerussite,1666.0,1
Siderite,1666.0,1
Calcite,1670.0,1
Dolomite,1670.0,1
Dolomite,1673.0,1
Rhodochrosite,1679.0,1
Cerussite,1682.0,1
Siderite,1686.0,1
Malachite,1700.0,2
Calcite,1700.0,2
Cerussite,1700.0,1
Smithsonite,1700.0,1
Azurite,1700.0,2
Siderite,1702.0,1
Calcite,1703.0,3
Cerussite,1703.0,3
Rhodochrosite,1703.0,1
Aragonite,1703.0,1
Siderite,1703.0,1
Dolomite,1703.0,1
Smithsonite,1703.0,1
Azurite,1703.0,3
Malachite,1703.0,2
Calcite,1703.29,1
Siderite,1710.0,1
Calcite,1710.0,1
