rarity_group,mineral_count,percentage_from_carbonates,percentage_from_all
Endemic,46,17.624521072796934,3.7337662337662336
Generally Rare,60,22.988505747126435,1.4932802389248383
Transitional,110,42.1455938697318,5.1091500232234095
Ubiquitous,45,17.24137931034483,6.419400855920114
